id_municipio,name_muni,Gap Salarial
3304110,Porto Real,0.47722762049029754
3304557,Rio De Janeiro,0.4585552363973416
3306206,Vassouras,0.4019038976611539
3304508,Rio Das Flores,0.40047206363433563
3304201,Resende,0.3784807184148064
3300951,Comendador Levy Gasparian,0.36745328900677415
3302403,Macaé,0.36721126608759364
3301108,Cantagalo,0.3281481743858864
3306107,Valença,0.3170382493180876
3304003,Piraí,0.3154869613838818
3305307,São Sebastião Do Alto,0.30242233191778445
3302007,Itaguaí,0.296124658542313
3302254,Itatiaia,0.28413516328773203
3304524,Rio Das Ostras,0.2779676193824314
3303302,Niterói,0.25739341528765514
3302908,Miguel Pereira,0.2411450018920299
3303708,Paraíba Do Sul,0.23867495284755874
3302270,Japeri,0.2377900400552374
3300308,Barra Do Piraí,0.2350747991715811
3301702,Duque De Caxias,0.23268660037017613
3300456,Belford Roxo,0.2295056355490554
3300225,Areal,0.22653683802107
3306008,Três Rios,0.22545024099536448
3305000,São João Da Barra,0.22133758276678517
3302205,Itaperuna,0.22032872280147683
3301900,Itaboraí,0.21855940781416455
3304706,Santo Antônio De Pádua,0.21697709141925625
3306305,Volta Redonda,0.21031104129161501
3300407,Barra Mansa,0.20409939778060013
3305406,Sapucaia,0.20112645556667016
3303104,Natividade,0.19931280276805677
3303906,Petrópolis,0.19849415714074667
3304128,Quatis,0.19452366376378957
3305505,Saquarema,0.1858864248451891
3305133,São José De Ubá,0.18313445305455983
3305901,Trajano De Moraes,0.18054861138939396
3304607,Santa Maria Madalena,0.17200769255097242
3305158,São José Do Vale Do Rio Preto,0.17189530797630562
3302601,Mangaratiba,0.16681543726167045
3300936,Carapebus,0.16652945024391294
3303609,Paracambi,0.16626448681120234
3303500,Nova Iguaçu,0.16514443427364603
3305208,São Pedro Da Aldeia,0.1650508173166773
3302304,Laje Do Muriaé,0.16058585175696924
3302452,Macuco,0.16002542230527905
3306156,Varre-Sai,0.15928346848253955
3301207,Carmo,0.15575929418299922
3304409,Rio Claro,0.15378809002488583
3302106,Itaocara,0.14573438232866132
3301405,Conceição De Macabu,0.145407839173731
3303401,Nova Friburgo,0.14472197995915517
3304151,Quissamã,0.14369746143621354
3302809,Mendes,0.13434185649164776
3300233,Armação Dos Búzios,0.13373151691729424
3300506,Bom Jardim,0.13185200668815433
3301876,Iguaba Grande,0.1309408544798243
3305109,São João De Meriti,0.13089541156877138
3301306,Casimiro De Abreu,0.12939365244155987
3300605,Bom Jesus Do Itabapoana,0.1284771558216658
3300209,Araruama,0.12723099912414926
3305802,Teresópolis,0.1260351112624766
3303005,Miracema,0.12568193986711254
3304904,São Gonçalo,0.12385557802819407
3302056,Italva,0.12335202399813643
3304300,Rio Bonito,0.11945582256458977
3304144,Queimados,0.11677228734752361
3305752,Tanguá,0.11440693604607075
3301009,Campos Dos Goytacazes,0.11210714162472826
3300159,Aperibé,0.10536294151197985
3300704,Cabo Frio,0.10409527955603257
3300803,Cachoeiras De Macacu,0.10212533876230385
3302502,Magé,0.100215952558056
3303203,Nilópolis,0.09491468162740954
3304755,São Francisco De Itabapoana,0.09348245756055772
3304805,São Fidélis,0.09279673511106834
3304102,Porciúncula,0.0919546145975364
3300100,Angra Dos Reis,0.08762421496138538
3300902,Cambuci,0.08740086436285086
3303856,Paty Do Alferes,0.08692202089171294
3301504,Cordeiro,0.08545572184859279
3303955,Pinheiral,0.08529323131206305
3305554,Seropédica,0.08377507442843006
3305703,Sumidouro,0.08325709050925298
3300258,Arraial Do Cabo,0.08321718812361803
3301801,Engenheiro Paulo De Frontin,0.08202837600559938
3305604,Silva Jardim,0.07819360545733177
3302858,Mesquita,0.07620696086247633
3303807,Paraty,0.063000428714923
3301603,Duas Barras,0.06012937632720363
3301850,Guapimirim,0.00347014748112691
3302700,Maricá,-0.03275881879134131
3301157,Cardoso Moreira,-0.1033841663137696
