sigla_uf,name_state,Gap Salarial
RJ,Rio De Janeiro,0.3730569477738782
DF,Distrito Federal,0.34502748633087627
SP,São Paulo,0.31141274628847276
BA,Bahia,0.2933678600626082
AP,Amapá,0.2814433847695996
TO,Tocantins,0.2754816916188384
RR,Roraima,0.2712343814660714
MA,Maranhão,0.27008934211151125
ES,Espírito Santo,0.24896883800488354
PI,Piauí,0.24487876771289538
CE,Ceará,0.24069632931320148
AL,Alagoas,0.2342702309300918
MG,Minas Gerais,0.23381506749905254
AC,Acre,0.2332707926592966
PB,Paraíba,0.22897665109778
PE,Pernambuco,0.22538645031844629
RS,Rio Grande Do Sul,0.22509506381692687
PA,Pará,0.22067623940095576
MT,Mato Grosso,0.20071068685776147
GO,Goiás,0.19671194521450597
SC,Santa Catarina,0.1905003417715648
RN,Rio Grande Do Norte,0.18741536642824536
MS,Mato Grosso Do Sul,0.18721290331744425
PR,Paraná,0.16576135570685926
SE,Sergipe,0.16411310964460746
RO,Rondônia,0.1429148947784897
AM,Amazônas,0.13866132139399268
